scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,recent_turns,tool_names,early_fact_retention,initial_score,final_score,missing_keywords
long-session,long_session_memory_retention_r23,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,23,reflection,1911,58,1969,1.3458566190001875,0.45761180099998455,43.09522959666175,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,265,265,355,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r24,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,24,reflection,1828,58,1886,1.5154985219996888,0.6259204500001943,38.271234948793904,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,255,255,319,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r25,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,25,tool_calling,1970,58,2028,1.3540582110008472,0.46127068599980703,42.87376558629414,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,270,270,297,0,0,0,0,0,0,0,6,calculator,1.0,1.0,1.0,
long-session,long_session_memory_retention_r26,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,26,reflection,1882,58,1940,1.504355884000688,0.628351579000082,38.554706779724654,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,242,242,320,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r27,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,27,reflection,1877,58,1935,1.3977228579997245,0.5089327139994566,41.496066024851,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,245,245,320,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r28,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,28,reflection,1882,58,1940,1.4932283039997856,0.6051304959992194,38.84201755661894,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,247,247,323,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r29,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,29,reflection,1807,58,1865,1.4365175349994388,0.5469533049999882,40.37542082632682,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,246,246,285,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r30,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,30,tool_calling,2025,59,2084,1.3841426950002642,0.4755580850005572,42.666083114194734,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,272,272,289,0,0,0,0,0,0,0,6,calculator,1.0,1.0,1.0,
long-session,long_session_memory_retention_r31,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,31,reflection,1877,59,1936,1.6286361960001159,0.7234008550003637,36.22662946144899,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,241,241,286,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r32,benchmarks/tasks/long_session.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,32,reflection,1881,45,1926,1.4687824359998558,0.7840140119997159,30.637621268507882,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,240,240,288,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
